track_id,artist,track_name,tempo,energy,danceability,popularity,rating
0v1Yg2zOk3t0YoW8NWsgWt,Jador,Dau Moda,139,79,82,48,1
0lAHTMVZKx0onEJRNYucFe,Iuly Neamtu,Lololo lolali,169,91,49,35,1
4JHL5XOuByjoHSt5bcVk0u,ACRAZE,Do It To It - Subtronics Remix,72,92,70,51,0
7fZBQnc0zXwVybgCIrQQil,Imanbek,Belly Dancer,121,79,84,85,1
20on25jryn53hWghthWWW3,ACRAZE,Do It To It,124,80,85,83,1
41Fflg7qHiVOD6dEPvsCzO,Fifth Harmony,Worth It (feat. Kid Ink),99,76,88,75,1
6BdmHmozz9yi5sQFGuefru,Bauchamp,Calypso,125,58,67,55,1
0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),159,60,80,83,1
7ByDkUNuaqt5rGxevEgSYD,Parazitii,Moartea intreaba de tine,88,43,84,41,1
3jyRp1tFpS2a12dfF4X1Qf,Parazitii,Parc-As F**E Ceva,95,79,82,44,1
1x7JV9lNePn47bJJUOOG9c,Parazitii,Bot In Bot Cu O Lepra Mica,97,81,93,42,1
0B9AFbKjQvLy0xUFWwakNr,Parazitii,Antimilitie,96,74,82,44,1
75I06xdxL5miIT7lQiN7Ur,Parazitii,Poliția Trece,90,46,79,45,1
0WbAOV0ZhSRVDEzV76OMeN,Cheloo,Prezentul Perfect,88,51,71,39,1
3bM1tVYY0TTjIlc3HCusDo,Cheloo,Vicii,90,52,81,39,1
7rO31nSQBuYGP5J6ngbiNQ,Cheloo,Lumina De La Capătul Tunului,87,64,64,35,1
0Fb9wmBVHTTRrzy5I0juwr,Cheloo,O Zi Ca Oricare Alta,94,40,91,48,1
0jrchV64MkZnvHVA7rRTpm,Cheloo,Ritmuetot,90,71,75,41,1
2n5KtimbFg8JRU0OsMaoy0,Cheloo,Lumea s-a schimbat,89,67,78,44,1
4716mfoYEVYNDrnaroGEBX,B.U.G. Mafia,Pe Coasta,83,74,73,47,1
7vfTXwHP2Xa59KTAAxCNDa,B.U.G. Mafia,Hoteluri,90,68,76,49,1
3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,Hips Don't Lie (feat. Wyclef Jean),100,82,77,86,1
5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,130,76,76,84,1
7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),123,86,79,88,1
2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),118,82,70,83,0
2gam98EZKrF9XuOkU13ApN,Nelly Furtado,Promiscuous,114,97,80,85,0
2x7MyWybabEz6Y6wvHuwGE,Lady Gaga,Just Dance,118,73,82,77,1
5rb9QrpfcKFHM1EUbSIurX,Usher,Yeah! (feat. Lil Jon & Ludacris),105,79,89,84,1
0HPD5WQqrq7wPWR7P7Dw1i,Kesha,TiK ToK,120,83,75,83,1
5nujrmhLynf4yMoMtj8AQF,Dua Lipa,Levitating (feat. DaBaby),102,82,70,85,1
0k2GOhqsrxDTAbFFSdNJjT,Sean Paul,Temperature,125,60,95,81,1
2bJvI42r8EF3wxjOuDav4r,Pitbull,Time of Our Lives,124,80,72,82,0
5R8dQOPq8haW94K7mgERlO,Lady Gaga,Poker Face,118,80,85,78,1
6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,107,76,82,87,1
3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,Hips Don't Lie (feat. Wyclef Jean),100,82,77,86,1
7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),123,86,79,88,1
1Lim1Py7xBgbAkAys3AGAG,Major Lazer,Lean On,98,80,72,75,1
6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,120,62,79,81,1
0uXO2GrNiIb1xHT9LUdxZE,David Guetta,Sexy Bitch (feat. Akon),130,62,81,68,1
1p80LdxRV74UKvL8gnD7ky,Taylor Swift,Blank Space,96,67,75,81,0
2ZL7WZcjuYKi1KUDtp4kCC,Drake,Spin Bout U,129,70,77,85,0
1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,114,72,71,89,0
6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,138,69,74,90,0
65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,126,77,80,92,0
5RcxRGvmYai7kpFSfxe5GY,Becky G,Chanel,132,67,85,90,1
609E1JCInJncactoMmkDon,ROSALÍA,BESO,95,64,76,96,1
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,139,79,70,93,0
0WtM2NBVQNNJLh6scP13H8,Rema,Calm Down (with Selena Gomez),106,80,80,95,0
0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,117,68,70,98,0
2T4qp0NnUM5st8WcqbID7U,YNY Sebi,Regele tarabanelor - From “Romina VTM” The Movie,89,87,77,50,0
4BJsV9Iu4sJphgvAyDxfkp,Marko Glass,Savana,94,63,71,48,0
5h1Zucrq9PfrPdMBryoTW5,M.G.L.,CONTACT FATAL 2,130,70,80,55,0
3YCtgIn37ssc8PQmw6WLC5,M.G.L.,"MARATON - From ""Haita De Acțiune"" The Movie",93,70,72,54,0
5hHq6NZy0DBfOHC5CFuxUa,Ian,Teancuri,128,64,73,54,1
3qGj892J75Dt8p7m0YOltm,M.G.L.,Marseille,134,68,88,53,1
043xuu25Tey8erikkqAoIT,AlbertNbn,Terorist,93,83,87,58,0
4XLLdFJdwmvdtkwQuXAFut,Ian,La san,94,68,82,56,1
6r2UqgPxaMxZEXwrOnZ7bm,YNY Sebi,Tarabanele,91,82,72,53,1
09Ylu166NCvXW8ZY4lA39W,Ian,Timeout,112,79,88,59,0
1oanM8lNb88L5ZuKkVp9va,Killa Fonic,Brasileira - From “TEAMBUILDING” The Movie,100,60,89,55,1
1sPaKzY12RpRuY0IeFcaPM,andrei,WANT 2,126,85,76,51,0
10xV5l9nhLvFpR8mqzs0bL,Marshmello,Numb,119,77,91,83,0
4qu63nuBpdn0qHUHuObEj1,Marshmello,Leave Before You Love Me (with Jonas Brothers),119,73,72,84,0
1DunhgeZSEgWiIYbHqXl0c,Disclosure,Latch,121,73,72,72,0
18asYwWugKjjsihZ0YvRxO,Tiësto,The Motto,117,76,75,84,1
7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,Slide (feat. Frank Ocean & Migos),104,79,73,76,1
2Foc5Q5nqNiosCNqttzHof,Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],116,81,79,83,1
21RzyxY3EFaxVy6K4RqaU9,Loud Luxury,Body,121,76,75,77,0
5OSGdSxtulzlzdPdK2MQJC,Marshmello,Esta Vida,123,67,75,81,0
1Lim1Py7xBgbAkAys3AGAG,Major Lazer,Lean On,98,80,72,75,1
6gpcs5eMhJwax4mIfKDYQk,Calvin Harris,Slide (feat. Frank Ocean & Migos),104,79,73,74,0
74nEGIzIefJhJ5qX7NeIAz,Chris Lake,Beggin',125,67,81,73,0
49X0LAl6faAusYq02PRAY6,Modjo,Lady - Hear Me Tonight,126,80,72,78,0
5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",101,74,89,78,1
4IlqQhaxrGPxmg35YcXXuS,Aaron Smith,Dancin - Krono Remix,119,72,75,79,1
3vv9phIu6Y1vX3jcqaGz5Z,The Chainsmokers,Roses,100,80,71,76,0
7fZBQnc0zXwVybgCIrQQil,Imanbek,Belly Dancer,121,79,84,85,1
6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,130,72,84,86,1
51FvjPEGKq2zByeeEQ43V9,Marshmello,El Merengue,124,67,77,91,0
1gihuPhrLraKYrJMAEONyc,Calvin Harris,Feel So Close - Radio Edit,127,92,70,83,0
7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),123,86,79,88,1
4et2T9lazK19led8TyVPD5,Ombladon,Nu Mi-E Frică,92,61,83,47,0
7vfTXwHP2Xa59KTAAxCNDa,B.U.G. Mafia,Hoteluri,90,68,76,49,1
3HMPaTn5oU4BKbHzA3gxnq,Puya,Baga Bani,99,62,90,47,1
6huyN1yBYN8EczV8HG2rL1,B.U.G. Mafia,Cine E Cu Noi,95,60,75,47,1
2wpcm9niAEll2En96Y1Uls,B.U.G. Mafia,Viata noastra,97,60,89,47,0
3IaJtIoz4Ua1HaqIz1YOI3,Guess Who,Tot Mai Sus (feat. De Moga),100,65,86,43,0
1BwDccvmbuyZMrQ8FGQlrh,Spike,Zeu,98,73,90,45,0
7drxiOJ5qJBGhoBiH6t0kj,Puya,Americandrim,90,60,72,44,0
1TwnWP6wrWAMHjgrNSfwHx,Puya,Fresh,124,85,85,50,1
5BcZTVzAS6k7dpSnQw5Ctg,Spike,Naufragiat,139,76,76,48,0
5Ni6hyrd6GGKZy8Tzu3T0z,B.U.G. Mafia,Strazile feat. (Mario V),92,60,84,51,1
1oanM8lNb88L5ZuKkVp9va,Killa Fonic,Brasileira - From “TEAMBUILDING” The Movie,100,60,89,55,1
2wtjKTnfYimgKi9cPxPBPV,Minelli,MMM,124,64,79,62,0
7Emwu6FcGIENbWKmDiD2ct,INNA,Wherever You Go,122,83,70,61,0
2ZAOEPkOeZTGsjGHWyCThc,INNA,Cola Song (feat. J Balvin),125,89,79,62,1
2ZAx6NDhX2yE5aL5ueEQgY,Alexandra Stan,Mr. Saxobeat,127,92,72,66,1
7v3ARZ3TuBQGFA6fKdyIOW,Sasha Lopez,Overdose - Sait Esmeray Remix,121,73,87,59,0
1txEi16dxuNGSU3VokEtOb,Minelli,Deep Sea (with R3HAB),122,81,77,62,1
1esZgaqm0YKN87CIP3orJ3,Minelli,Rampampam,117,64,79,67,0
7AB1TtGbNXkixdYZtJRb4u,INNA,Flashbacks,105,76,77,58,0
2ykXJ9QVwx9Li8nsW0h6b2,INNA,UP,98,71,81,69,1
1AguHaKOuggrVTebp7cZEI,Edward Maya,Stereo Love - Radio Edit,127,78,79,70,1
4hc0VETiFO91s9yiXvgaUp,Fly Project,Toca Toca - Radio Edit,125,61,90,59,1
